@RELATION TrainingDataset

@ATTRIBUTE state {Tamil_Nadu}
@ATTRIBUTE year REAL
@ATTRIBUTE crop {Apple,Arecanut,Arhar/Tur,Ash_Gourd,Bajra,Banana,Beans_&_Mutter(Vegetable),Beet_Root,Ber,Bhindi,Bitter_Gourd,Black_pepper,Bottle_Gourd,Brinjal,Cabbage,Cardamom,Carrot,Cashewnut,Castor_seed,Cauliflower,Citrus_Fruit,Coconut,Coriander,Cotton(lint),Cucumber,Drum_Stick,Dry_chillies,Dry_ginger,Garlic,Gram,Grapes,Groundnut,Guar_seed,Horse-gram,Jack_Fruit,Jowar,Korra,Lab-Lab,Litchi,Maize,Mango,Mesta,Moong(Green_Gram),Onion,Orange,Other_Cereals_&_Millets,Other_Citrus_Fruit,Other_Fresh_Fruits,Other_Kharif_pulses,Other_Vegetables,Papaya,Peach,Pear,Pineapple,Plums,Pome_Fruit,Pome_Granet,Potato,Pulses_total,Pump_Kin,Ragi,Rapeseed_&Mustard,Redish,Ribed_Guard,Rice,Samai,Sannhamp,Sesamum,Small_millets,Snak_Guard,Sugarcane,Sunflower,Sweet_potato,Tapioca,Tobacco,Tomato,Total_foodgrain,Turmeric,Turnip,Urad,Varagu,Water_Melon,Wheat,Yam}
@ATTRIBUTE area REAL
@ATTRIBUTE rainfall(in_mm) REAL
@ATTRIBUTE production(in_tones) Numeric

@DATA
Tamil_Nadu,2013,Horse-gram,1,741.90,1
Tamil_Nadu,2013,Jowar,63,741.90,136
Tamil_Nadu,2013,Maize,615,741.90,3076
Tamil_Nadu,2013,Onion,7,741.90,59
Tamil_Nadu,2013,Ragi,11,741.90,44
Tamil_Nadu,2013,Sunflower,1,741.90,1
Tamil_Nadu,2013,Urad,1485,741.90,1267
Tamil_Nadu,2013,Arhar/Tur,236,741.90,228
Tamil_Nadu,2013,Banana,131,741.90,5441
Tamil_Nadu,2013,Cashewnut,30152,741.90,6600
Tamil_Nadu,2013,Coconut,331,741.90,1700000
Tamil_Nadu,2013,Coriander,14,741.90,5
Tamil_Nadu,2013,Dry_chillies,212,741.90,58
Tamil_Nadu,2013,Small_millets,187,741.90,491
Tamil_Nadu,2013,Sugarcane,9875,741.90,1112304
Tamil_Nadu,2013,Tapioca,189,741.90,5655
Tamil_Nadu,2013,Turmeric,61,741.90,224
Tamil_Nadu,1997,Banana,5619,950.50,183740
Tamil_Nadu,1997,Horse-gram,6849,950.50,3040
Tamil_Nadu,1997,Onion,2813,950.50,37188
Tamil_Nadu,1997,Sesamum,1598,950.50,580
Tamil_Nadu,1997,Small_millets,63,950.50,50
Tamil_Nadu,1997,Tobacco,936,950.50,1620
Tamil_Nadu,1997,Arhar/Tur,1393,950.50,700
Tamil_Nadu,1997,Bajra,518,950.50,910
Tamil_Nadu,1997,Banana,7269,950.50,285930
Tamil_Nadu,1997,Black_pepper,131,950.50,30
Tamil_Nadu,1997,Cardamom,834,950.50,70
Tamil_Nadu,1997,Cashewnut,63,950.50,40
Tamil_Nadu,1997,Castor_seed,199,950.50,70
Tamil_Nadu,1997,Coriander,709,950.50,130
Tamil_Nadu,1997,Cotton(lint),16858,950.50,30610
Tamil_Nadu,1997,Dry_chillies,2350,950.50,1430
Tamil_Nadu,1997,Gram,4481,950.50,3320
Tamil_Nadu,1997,Groundnut,33861,950.50,43150
Tamil_Nadu,1997,Jowar,89773,950.50,65140
Tamil_Nadu,1997,Maize,15763,950.50,17720
Tamil_Nadu,1997,Moong(Green_Gram),4526,950.50,1480
Tamil_Nadu,1997,Onion,1680,950.50,20960
Tamil_Nadu,1997,Pulses_total,34941,950.50,13110
Tamil_Nadu,1997,Ragi,401,950.50,800
Tamil_Nadu,1997,Rice,18703,950.50,57670
Tamil_Nadu,1997,Sugarcane,10756,950.50,12272000
Tamil_Nadu,1997,Sunflower,457,950.50,460
Tamil_Nadu,1997,Tapioca,1320,950.50,49510
Tamil_Nadu,1997,Tobacco,844,950.50,1250
Tamil_Nadu,1997,Total_foodgrain,160230,950.50,155430
Tamil_Nadu,1997,Turmeric,2024,950.50,16960
Tamil_Nadu,1997,Urad,3085,950.50,1440
Tamil_Nadu,1998,Arhar/Tur,2312,1079.70,1998
Tamil_Nadu,1998,Bajra,244,1079.70,511
Tamil_Nadu,1998,Cotton(lint),15370,1079.70,32294
Tamil_Nadu,1998,Groundnut,39937,1079.70,69248
Tamil_Nadu,1998,Horse-gram,7231,1079.70,3030
Tamil_Nadu,1998,Jowar,88370,1079.70,64470
Tamil_Nadu,1998,Maize,18828,1079.70,21163
Tamil_Nadu,1998,Moong(Green_Gram),7116,1079.70,3899
Tamil_Nadu,1998,Pulses_total,43420,1079.70,20310
Tamil_Nadu,1998,Ragi,510,1079.70,1271
Tamil_Nadu,1998,Rice,15034,1079.70,51575
Tamil_Nadu,1998,Sesamum,1106,1079.70,423
Tamil_Nadu,1998,Small_millets,4600,1079.70,3400
Tamil_Nadu,1998,Sunflower,191,1079.70,197
Tamil_Nadu,1998,Total_foodgrain,167323,1079.70,15962
Tamil_Nadu,1998,Urad,10191,1079.70,4983
Tamil_Nadu,1998,Gram,4164,1079.70,3981
Tamil_Nadu,1998,Wheat,20,1079.70,1
Tamil_Nadu,1998,Banana,6189,1079.70,243451
Tamil_Nadu,1998,Black_pepper,130,1079.70,26
Tamil_Nadu,1998,Cardamom,833,1079.70,68
Tamil_Nadu,1998,Castor_seed,174,1079.70,60
Tamil_Nadu,1998,Coriander,822,1079.70,150
Tamil_Nadu,1998,Dry_chillies,1980,1079.70,1202
Tamil_Nadu,1998,Onion,3093,1079.70,38591
Tamil_Nadu,1998,Sannhamp,1,1079.70,1
Tamil_Nadu,1998,Sugarcane,13193,1079.70,1467460
Tamil_Nadu,1998,Tapioca,1526,1079.70,56679
Tamil_Nadu,1998,Tobacco,461,1079.70,687
Tamil_Nadu,1998,Turmeric,2652,1079.70,22221
Tamil_Nadu,1999,Arhar/Tur,961,922.60,635
Tamil_Nadu,1999,Bajra,670,922.60,1376
Tamil_Nadu,1999,Castor_seed,3771,922.60,1365
Tamil_Nadu,1999,Cotton(lint),7627,922.60,12264
Tamil_Nadu,1999,Groundnut,36123,922.60,55110
Tamil_Nadu,1999,Horse-gram,7884,922.60,2985
Tamil_Nadu,1999,Jowar,87539,922.60,43978
Tamil_Nadu,1999,Korra,2,922.60,1
Tamil_Nadu,1999,Maize,19841,922.60,22328
Tamil_Nadu,1999,Moong(Green_Gram),6400,922.60,3104
Tamil_Nadu,1999,Ragi,419,922.60,449
Tamil_Nadu,1999,Rice,16875,922.60,60494
Tamil_Nadu,1999,Sesamum,1100,922.60,521
Tamil_Nadu,1999,Sunflower,978,922.60,984
Tamil_Nadu,1999,Urad,5178,922.60,2682
Tamil_Nadu,1999,Gram,5030,922.60,3723
Tamil_Nadu,1999,Samai,134,922.60,73
Tamil_Nadu,1999,Wheat,9,922.60,4
Tamil_Nadu,1999,Banana,5619,922.60,183740
Tamil_Nadu,1999,Cashewnut,36,922.60,11
Tamil_Nadu,1999,Coriander,324,922.60,59
Tamil_Nadu,1999,Dry_chillies,1418,922.60,1235
Tamil_Nadu,1999,Guar_seed,11939,922.60,118374
Tamil_Nadu,1999,Onion,2813,922.60,37188
Tamil_Nadu,1999,Sugarcane,11939,922.60,1195037
Tamil_Nadu,1999,Sweet_potato,2,922.60,24
Tamil_Nadu,1999,Tapioca,834,922.60,29595
Tamil_Nadu,1999,Tobacco,936,922.60,1620
Tamil_Nadu,1999,Turmeric,3023,922.60,19346
Tamil_Nadu,2000,Arhar/Tur,632,972.00,418
Tamil_Nadu,2000,Bajra,307,972.00,479
Tamil_Nadu,2000,Castor_seed,242,972.00,88
Tamil_Nadu,2000,Cotton(lint),6674,972.00,10987
Tamil_Nadu,2000,Groundnut,20169,972.00,27436
Tamil_Nadu,2000,Horse-gram,4859,972.00,1809
Tamil_Nadu,2000,Jowar,74450,972.00,35650
Tamil_Nadu,2000,Maize,18075,972.00,20341
Tamil_Nadu,2000,Moong(Green_Gram),5292,972.00,2397
Tamil_Nadu,2000,Other_Cereals_&_Millets,10,972.00,6
Tamil_Nadu,2000,Other_Kharif_pulses,12066,972.00,2582
Tamil_Nadu,2000,Ragi,295,972.00,305
Tamil_Nadu,2000,Rice,12170,972.00,47066
Tamil_Nadu,2000,Sesamum,800,972.00,382
Tamil_Nadu,2000,Sunflower,145,972.00,153
Tamil_Nadu,2000,Urad,3716,972.00,1925
Tamil_Nadu,2000,Gram,2297,972.00,1700
Tamil_Nadu,2000,Rapeseed_&Mustard,6,972.00,1
Tamil_Nadu,2000,Wheat,8,972.00,4
Tamil_Nadu,2000,Banana,7050,972.00,230533
Tamil_Nadu,2000,Cashewnut,43,972.00,17
Tamil_Nadu,2000,Coriander,294,972.00,53
Tamil_Nadu,2000,Dry_chillies,1716,972.00,1653
Tamil_Nadu,2000,Onion,4450,972.00,58829
Tamil_Nadu,2000,Sannhamp,5,972.00,4
Tamil_Nadu,2000,Sugarcane,11167,972.00,1117764
Tamil_Nadu,2000,Tapioca,1236,972.00,43860
Tamil_Nadu,2000,Tobacco,601,972.00,1040
Tamil_Nadu,2000,Turmeric,4178,972.00,26062
Tamil_Nadu,2001,Arhar/Tur,563,483.40,370
Tamil_Nadu,2001,Bajra,236,483.40,450
Tamil_Nadu,2001,Cotton(lint),10220,483.40,14650
Tamil_Nadu,2001,Groundnut,19152,483.40,29100
Tamil_Nadu,2001,Jowar,75752,483.40,29680
Tamil_Nadu,2001,Moong(Green_Gram),4420,483.40,1260
Tamil_Nadu,2001,Ragi,233,483.40,420
Tamil_Nadu,2001,Rice,10548,483.40,37200
Tamil_Nadu,2001,Sesamum,914,483.40,460
Tamil_Nadu,2001,Sunflower,45,483.40,60
Tamil_Nadu,2001,Urad,1839,483.40,720
Tamil_Nadu,2001,Sugarcane,13438,483.40,1496800
Tamil_Nadu,2002,Arhar/Tur,468,318.00,255
Tamil_Nadu,2002,Bajra,624,318.00,684
Tamil_Nadu,2002,Castor_seed,168,318.00,62
Tamil_Nadu,2002,Cotton(lint),5103,318.00,3024
Tamil_Nadu,2002,Groundnut,13131,318.00,12376
Tamil_Nadu,2002,Horse-gram,5794,318.00,1171
Tamil_Nadu,2002,Jowar,80595,318.00,23240
Tamil_Nadu,2002,Korra,1,318.00,1
Tamil_Nadu,2002,Maize,18242,318.00,20520
Tamil_Nadu,2002,Moong(Green_Gram),4238,318.00,699
Tamil_Nadu,2002,Other_Kharif_pulses,12702,318.00,2721
Tamil_Nadu,2002,Ragi,198,318.00,264
Tamil_Nadu,2002,Rice,6577,318.00,22152
Tamil_Nadu,2002,Samai,24,318.00,17
Tamil_Nadu,2002,Sesamum,525,318.00,177
Tamil_Nadu,2002,Sunflower,10,318.00,12
Tamil_Nadu,2002,Urad,2083,318.00,831
Tamil_Nadu,2002,Varagu,1,318.00,1
Tamil_Nadu,2002,Gram,4113,318.00,3046
Tamil_Nadu,2002,Wheat,6,318.00,0
Tamil_Nadu,2002,Ash_Gourd,67,318.00,0
Tamil_Nadu,2002,Banana,6499,318.00,212533
Tamil_Nadu,2002,Beans_&_Mutter(Vegetable),2,318.00,0
Tamil_Nadu,2002,Beet_Root,265,318.00,0
Tamil_Nadu,2002,Bhindi,392,318.00,5017
Tamil_Nadu,2002,Bitter_Gourd,182,318.00,0
Tamil_Nadu,2002,Bottle_Gourd,12,318.00,0
Tamil_Nadu,2002,Brinjal,621,318.00,6413
Tamil_Nadu,2002,Cashewnut,243,318.00,73
Tamil_Nadu,2002,Cauliflower,59,318.00,0
Tamil_Nadu,2002,Citrus_Fruit,56,318.00,62
Tamil_Nadu,2002,Coconut,99250,318.00,630000
Tamil_Nadu,2002,Coriander,680,318.00,323
Tamil_Nadu,2002,Cucumber,33,318.00,0
Tamil_Nadu,2002,Drum_Stick,45,318.00,0
Tamil_Nadu,2002,Dry_chillies,1265,318.00,654
Tamil_Nadu,2002,Garlic,2,318.00,11
Tamil_Nadu,2002,Grapes,368,318.00,6782
Tamil_Nadu,2002,Jack_Fruit,13,318.00,147
Tamil_Nadu,2002,Lab-Lab,119,318.00,0
Tamil_Nadu,2002,Mango,3848,318.00,28864
Tamil_Nadu,2002,Onion,1970,318.00,26248
Tamil_Nadu,2002,Orange,18,318.00,28
Tamil_Nadu,2002,Other_Citrus_Fruit,162,318.00,0
Tamil_Nadu,2002,Other_Fresh_Fruits,325,318.00,0
Tamil_Nadu,2002,Other_Vegetables,626,318.00,0
Tamil_Nadu,2002,Papaya,149,318.00,0
Tamil_Nadu,2002,Pome_Fruit,172,318.00,900
Tamil_Nadu,2002,Pome_Granet,51,318.00,0
Tamil_Nadu,2002,Redish,9,318.00,0
Tamil_Nadu,2002,Ribed_Guard,78,318.00,0
Tamil_Nadu,2002,Snak_Guard,85,318.00,0
Tamil_Nadu,2002,Sugarcane,9623,318.00,830060
Tamil_Nadu,2002,Tapioca,518,318.00,15576
Tamil_Nadu,2002,Tomato,4409,318.00,56986
Tamil_Nadu,2002,Turmeric,1453,318.00,7620
Tamil_Nadu,2002,Water_Melon,32,318.00,0
Tamil_Nadu,2002,Yam,5,318.00,0
Tamil_Nadu,2003,Arhar/Tur,342,348.50,209
Tamil_Nadu,2003,Bajra,500,348.50,575
Tamil_Nadu,2003,Castor_seed,205,348.50,76
Tamil_Nadu,2003,Cotton(lint),6881,348.50,8600
Tamil_Nadu,2003,Groundnut,16629,348.50,14937
Tamil_Nadu,2003,Horse-gram,5967,348.50,1710
Tamil_Nadu,2003,Jowar,94373,348.50,28512
Tamil_Nadu,2003,Korra,1,348.50,1
Tamil_Nadu,2003,Maize,21839,348.50,24570
Tamil_Nadu,2003,Moong(Green_Gram),5730,348.50,1737
Tamil_Nadu,2003,Other_Kharif_pulses,15696,348.50,3363
Tamil_Nadu,2003,Ragi,174,348.50,240
Tamil_Nadu,2003,Rice,3654,348.50,10643
Tamil_Nadu,2003,Sesamum,874,348.50,279
Tamil_Nadu,2003,Small_millets,19,348.50,12
Tamil_Nadu,2003,Sunflower,13,348.50,17
Tamil_Nadu,2003,Urad,1715,348.50,701
Tamil_Nadu,2003,Gram,4627,348.50,3427
Tamil_Nadu,2003,Ash_Gourd,167,348.50,0
Tamil_Nadu,2003,Banana,4983,348.50,145880
Tamil_Nadu,2003,Beans_&_Mutter(Vegetable),2,348.50,0
Tamil_Nadu,2003,Beet_Root,290,348.50,0
Tamil_Nadu,2003,Bhindi,337,348.50,2885
Tamil_Nadu,2003,Bitter_Gourd,233,348.50,0
Tamil_Nadu,2003,Black_pepper,127,348.50,25
Tamil_Nadu,2003,Bottle_Gourd,6,348.50,0
Tamil_Nadu,2003,Brinjal,553,348.50,6182
Tamil_Nadu,2003,Cabbage,5,348.50,318
Tamil_Nadu,2003,Cardamom,813,348.50,63
Tamil_Nadu,2003,Cashewnut,249,348.50,86
Tamil_Nadu,2003,Cauliflower,55,348.50,0
Tamil_Nadu,2003,Citrus_Fruit,59,348.50,62
Tamil_Nadu,2003,Coconut,99381,348.50,690200
Tamil_Nadu,2003,Coriander,1747,348.50,911
Tamil_Nadu,2003,Cucumber,47,348.50,0
Tamil_Nadu,2003,Drum_Stick,60,348.50,0
Tamil_Nadu,2003,Dry_chillies,1410,348.50,724
Tamil_Nadu,2003,Grapes,365,348.50,1638
Tamil_Nadu,2003,Jack_Fruit,14,348.50,135
Tamil_Nadu,2003,Lab-Lab,244,348.50,0
Tamil_Nadu,2003,Mango,3793,348.50,10951
Tamil_Nadu,2003,Onion,1330,348.50,18824
Tamil_Nadu,2003,Orange,12,348.50,24
Tamil_Nadu,2003,Other_Citrus_Fruit,213,348.50,0
Tamil_Nadu,2003,Other_Fresh_Fruits,382,348.50,0
Tamil_Nadu,2003,Other_Vegetables,322,348.50,0
Tamil_Nadu,2003,Papaya,218,348.50,0
Tamil_Nadu,2003,Pome_Fruit,156,348.50,1096
Tamil_Nadu,2003,Pome_Granet,38,348.50,0
Tamil_Nadu,2003,Pump_Kin,387,348.50,0
Tamil_Nadu,2003,Redish,18,348.50,0
Tamil_Nadu,2003,Ribed_Guard,80,348.50,0
Tamil_Nadu,2003,Snak_Guard,108,348.50,0
Tamil_Nadu,2003,Sugarcane,6299,348.50,548422
Tamil_Nadu,2003,Sweet_potato,1,348.50,14
Tamil_Nadu,2003,Tapioca,459,348.50,14224
Tamil_Nadu,2003,Tomato,4386,348.50,52229
Tamil_Nadu,2003,Turmeric,1786,348.50,7945
Tamil_Nadu,2003,Water_Melon,21,348.50,0
Tamil_Nadu,2003,Yam,5,348.50,0
Tamil_Nadu,2004,Arhar/Tur,296,1037.60,198
Tamil_Nadu,2004,Bajra,460,1037.60,865
Tamil_Nadu,2004,Castor_seed,236,1037.60,87
Tamil_Nadu,2004,Cotton(lint),11547,1037.60,14808
Tamil_Nadu,2004,Dry_ginger,1,1037.60,19
Tamil_Nadu,2004,Groundnut,19147,1037.60,24227
Tamil_Nadu,2004,Horse-gram,5056,1037.60,2466
Tamil_Nadu,2004,Jowar,94888,1037.60,32292
Tamil_Nadu,2004,Maize,24692,1037.60,27779
Tamil_Nadu,2004,Moong(Green_Gram),5435,1037.60,2074
Tamil_Nadu,2004,Other_Kharif_pulses,17642,1037.60,3779
Tamil_Nadu,2004,Ragi,167,1037.60,261
Tamil_Nadu,2004,Rice,7239,1037.60,24454
Tamil_Nadu,2004,Sesamum,1125,1037.60,392
Tamil_Nadu,2004,Small_millets,13,1037.60,18
Tamil_Nadu,2004,Sunflower,453,1037.60,482
Tamil_Nadu,2004,Urad,2186,1037.60,802
Tamil_Nadu,2004,Gram,4146,1037.60,3071
Tamil_Nadu,2004,Arecanut,1574,1037.60,1844
